result #	query	article title	article url	article description	Author	Date	total nr of results indicated by Google	Extra settings	
0	“big government” blogurl:chrismarsden.blogspot.com	n/a	n/a	n/a			n/a		
1	“big government” blogurl:freepress.net	for fox business, big government is enemy number one	http://www.freepress.net/news/27098	a few hours into the fox business network's first day on the air, cnbc's headquarters was linked with other "government buildings," a government program to study shrimp and catfish was disparaged -- and grover norquist was a guest.	n/a	15/10/2007	3		
2	“big government” blogurl:freepress.net	christian coalition takes hit from dick armey for defending net ...	http://www.freepress.net/news/16563	dick armey, former congressman and current chairman of the conservative group, freedomworks, attacked the christian coalition for siding "with the forces of big government and against good sense and the rest of the conservative movement ...	n/a	18/07/2006	3		
3	“big government” blogurl:freepress.net	new york times discovers true network neutrality but focuses on ...	http://www.freepress.net/news/25456	the new york times' coverage of the european commission's continued struggle to create more competition in the market for broadband services plays on americans' fear of big government and regulation.	n/a	15/08/2007	3		
4	“big government” blogurl:savetheinternet.com/blog	My Web Series Made Possible by Net Neutrality | Save the Internet	http://www.savetheinternet.com/blog/10/01/05/my-web-series-made-possible-net-neutrality	To clarify, I am not a big government kind of gal. As an American citizen, I believe encouraging the entrepreneurial spirit and setting the foundations for free enterprise are fundamental to our economic success. ...	Ruth Livier  	05/01/2010	3		
5	“big government” blogurl:savetheinternet.com/blog	Internet Freedom in the House | Save the Internet	http://www.savetheinternet.com/blog/09/07/31/internet-freedom-house	this product of Chicago politics believes Big Government is the answer which means his agenda is predicated on absolute control over the people who elected him. It is pathetic we have to read between the lines of such legislation...but ...	Tim Karr  	31/07/2009	3		
6	“big government” blogurl:savetheinternet.com/blog	Comment on John Edwards: 'We Need Net Neutrality' by Scott Cleland	http://www.savetheinternet.com/blog/2007/04/11/john-edwards-we-need-net-neutrality/#comment-51133	Looking to emulate Big Government approaches to broadband would be a disaster in the US It would also send us down the path of corporate welfare, as government and not consumers would choose which technologies and companies prevail.	Scott Cleland  	19/04/2007	3		
7	“big government” blogurl:dig.csail.mit.edu/breadcrumbs/blog/4	n/a	n/a	n/a			n/a		
8	“big government” blogurl:internetevolution.com/author.asp?section_id=506&doc_id=134705	n/a	n/a	n/a			n/a		
9	“big government” blogurl:seminal.firedoglake.com/diary/22925	n/a	n/a	n/a			n/a		
10	“big government” blogurl:techdailydose.nationaljournal.com/2010/01/fcc-using-comcast-dispute-to-p.php	n/a	n/a	n/a			n/a		
11	“big government” blogurl:philly.com/philly/business/technology/20100108_ap_comcastfcctakenetneutralitydisputetocourt.html	n/a	n/a	n/a			n/a		
12	“big government” blogurl:mediacitizen.blogspot.com/2010/01/at-consultant-conjures-evidence-that.html	n/a	n/a	n/a			n/a		
13	“big government” blogurl:artsjournal.com/artsjournal1/2010/01/why_musicians_s.shtml	n/a	n/a	n/a			n/a		
14	“big government” blogurl:savetheinternet.com/blog/10/01/07/net-neutrality-and-why-it-important-women	n/a	n/a	n/a			n/a		
15	“big government” blogurl:ecommercetimes.com/rsstory/69063.html	n/a	n/a	n/a			n/a		
16	“big government” blogurl:radiosurvivor.com/2010/01/08/crossover-bands-hit-fcc-with-net-neutrality-letters	n/a	n/a	n/a			n/a		
