result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
0	“big government” site:googlepublicpolicy.blogspot.com/2007/06/what-do-we-mean-by-net-neutrality.html	n/a	n/a	n/a	n/a		
1	“big government” site:books.google.com/books?id=WGPZ6BLBpkMC&pg=PT177&lpg=PT177&dq="net	n/a	n/a	n/a	n/a		
2	“big government” site:digitalspy.co.uk/digitaltv/news/a93556/virgin-media-ceo-attacks-net-neutrality.html	n/a	n/a	n/a	n/a		
3	“big government” site:civ.moveon.org/save_the_internet/background.html	n/a	n/a	n/a	n/a		
4	“big government” site:wiki.idebate.org/en/index.php/Debate	Debate: Public health insurance option - Debatepedia	http://wiki.idebate.org/en/index.php/Debate:_Public_insurance_option_in_US_health_care	Public option is only a ideological  battle for big government . Steven Pearlstein . "It's Time to Give Up On the Public Option" Washington Post. ...wiki.idebate.org/.../Debate:_Public_insurance_option_in_US_health_care - Cached 	3		
5	“big government” site:wiki.idebate.org/en/index.php/Debate	Debate: Libertarianism - Debatepedia	http://wiki.idebate.org/en/index.php/Debate:_Libertarianism	4 Oct 2009 ... In other words, Libertarians propose "solving" " big government " with a ... This  would not end " big government " abuses, but would rather ...  	3		
6	“big government” site:wiki.idebate.org/en/index.php/Debate	Debate: Right to bear arms in the US - Debatepedia	http://wiki.idebate.org/en/index.php/Debate:_Right_to_bear_arms_in_the_US	An armed citizenry empowers citizens to protect themselves, so that a big government doesn't have to. Finally, the right to bear arms is, in itself, ...  	3		
7	“big government” site:conferences.sigcomm.org/hotnets/2006/yang06technical.pdf	n/a	n/a	n/a	n/a		
8	“big government” site:mydd.com/story/2006/6/10/23516/7660	n/a	n/a	n/a	n/a		
9	“big government” site:networkworld.com/news/2009/021209-international-net-neutrality.html	n/a	n/a	n/a	n/a		
10	“big government” site:books.google.com/books?id=J85RP4YmBTYC&pg=PA173&lpg=PA173&dq="net	n/a	n/a	n/a	n/a		
11	“big government” site:humanevents.com/article.php?id=33718	Big, Big Government - HUMAN EVENTS	http://www.humanevents.com/article.php?id=19216	Big, Big Government . by John Stossel. 01/31/2007 ... Too bad the idea is being tossed on the trash heap by big-government Republicans and their DEA goons. ...  	685		
12	“big government” site:humanevents.com/article.php?id=33718	The Baucus Bill Grows Big Government - HUMAN EVENTS	http://www.humanevents.com/article.php?id=33925	12 Oct 2009 ... The outline of the product is pretty clear: massive spending, more taxes, more bureaucracy, and more federal rules...  	685		
13	“big government” site:humanevents.com/article.php?id=33718	Big Government Can't Put Young Americans to Work - HUMAN EVENTS	http://www.humanevents.com/article.php?id=34659	"What have you done for me lately?" It's a question that voters implicitly ask politicians, especially ones they have supported and who are.  	685		
14	“big government” site:humanevents.com/article.php?id=33718	Big Government Is Back In Vogue - HUMAN EVENTS	http://www.humanevents.com/article.php?id=30713	16 Feb 2009 ... The debate between liberals and conservatives on Obama's so-called stimulus package boils down to a classic right-left argument...  	685		
15	“big government” site:humanevents.com/article.php?id=33718	Big-Government Conservatives - HUMAN EVENTS	http://www.humanevents.com/article.php?id=21316	"Reviving the Hamilton Agenda." That's the headline the New York Times gave David Brooks's recent column honoring Alexander Hamilton, the F.  	685		
16	“big government” site:humanevents.com/article.php?id=33718	Billionaires for Big Government  - HUMAN EVENTS	http://www.humanevents.com/article.php?id=24422	15 Jan 2008 ... Democracy Alliance, Markos Moulitsas, DailyKos, Vast Left Wing Conspiracy, National Education Association, George Soros, Media Matters for ...  	685		
17	“big government” site:humanevents.com/article.php?id=33718	Top 10 Anti-Big Government Bumper Stickers - HUMAN EVENTS	http://www.humanevents.com/article.php?id=29924	17 Dec 2008 ...  Big government : The opiate of the masses. 8. If you are not outraged, you are not paying attention. 9. The people's right to know is ...  	685		
18	“big government” site:humanevents.com/article.php?id=33718	The Era of Big-Government Conservatism Must Come to an End - HUMAN ...	http://www.humanevents.com/article.php?id=18116	The single-best thing the lame-duck GOP Congress can do is vote in a spending- limitation bill with balanced-budget targets for the next couple of yea.www.humanevents.com/article.php?id=18116 - Cached 	685		
