result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
0	“big government” site:themoneytimes.com/20100109/washingtons-tech-efforts-felt-show-id-1096496.html	n/a	n/a	n/a	n/a		
1	“big government” site:thestandard.com/news/2010/01/09/court-questions-fcc-authority-impose-net-neutrality	n/a	n/a	n/a	n/a		
2	“big government” site:pcworld.com/article/186504/tame_your_tvs_wild_volume_swings.html	n/a	n/a	n/a	n/a		
3	“big government” site:news.idg.no/cw/art.cfm?id=148944D3-1A64-67EA-E4D6B55F5D2A0BAA	The Obama plan to own your PC, part deux ( - Internet - Security ...	http://news.idg.no/cw/art.cfm?id=EBEBFE2D-1A64-67EA-E4028380BC3FA543		3		
4	“big government” site:news.idg.no/cw/art.cfm?id=148944D3-1A64-67EA-E4D6B55F5D2A0BAA	Ballmer: Software makers face big challenges ( - Software ...	http://news.idg.no/cw/art.cfm?id=517788B6-17A4-0F78-31308327102792A6		3		
5	“big government” site:news.idg.no/cw/art.cfm?id=148944D3-1A64-67EA-E4D6B55F5D2A0BAA	Internet, Twitter blocked in China city after ethnic riot ...	http://news.idg.no/cw/art.cfm?id=4FEC9E6B-1A64-6A71-CE27CA563A235FFE		3		
6	“big government” site:networkworld.com/news/2010/010910-court-questions-fcc-authority-to.html	n/a	n/a	n/a	n/a		
7	“big government” site:istockanalyst.com/article/viewiStockNews/articleid/3770166	n/a	n/a	n/a	n/a		
8	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Obama Poised To Cede US Sovereignty	http://www.officialwire.com/main.php?action=posted_news&rid=32251		22		
9	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire - Printer friendly version	http://www.officialwire.com/main.php?action=print_page&rid=16542		22		
10	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Senator Russ Feingold Hits The Wall	http://www.officialwire.com/main.php?action=posted_news&rid=34860		22		
11	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Why Big Government Is Back, And How To Shrink It To ...	http://www.officialwire.com/main.php/main.php?action=posted_news&rid=76323&catid=2		22		
12	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire - Printer friendly version	http://www.officialwire.com/main.php?action=print_page&rid=49957		22		
13	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Big Pharma, Big Food, Big Fuel, And Big Fascism	http://www.officialwire.com/main.php/www.gregpalast.com/main.php?action=posted_news&rid=65751&catid=10		22		
14	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Stop Blaming Capitalism For Government Failures	http://www.officialwire.com/main.php/documents/pdf/main.php?action=posted_news&rid=81047&catid=10		22		
15	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Poll: Government Takes On Too Much	http://www.officialwire.com/main.php/documents/pdf/main.php?action=posted_news&rid=25925&catid=60		22		
16	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Religious Right Crucifies What's Left Of America	http://www.officialwire.com/main.php/www.house.gov/pelosi/contact/main.php?action=posted_news&rid=44754&catid=10		22		
17	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Republican Party, Red From The Start	http://www.officialwire.com/main.php/www.gregpalast.com/main.php?action=posted_news&rid=62068&catid=10		22		
18	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire - Printer friendly version	http://www.officialwire.com/main.php?action=print_page&rid=21103		22		
19	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Pearl Harbor, Proves 9-11 Fraud	http://www.officialwire.com/main.php/www.gregpalast.com/documents/pdf/www.house.gov/pelosi/contact/main.php?action=posted_news&rid=58101&catid=10		22		
20	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Senator Russ Feingold Hits The Wall	http://www.officialwire.com/main.php?action=posted_news&rid=34860&catid=10		22		
21	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Imperial Religion Hates Jesus	http://www.officialwire.com/main.php/documents/pdf/main.php?action=posted_news&rid=21942&catid=10		22		
22	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire - Printer friendly version	http://www.officialwire.com/main.php?action=print_page&rid=11978		22		
23	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Commentary: Tongue-To-Tongue Combat	http://www.officialwire.com/main.php/documents/txt/component/acctexp/main.php?action=posted_news&rid=16542&catid=10		22		
24	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Obama Poised To Cede US Sovereignty	http://www.officialwire.com/main.php?action=posted_news&rid=32251&catid=933		22		
25	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Bush's Heir Cut: Awards Tax Break To Son Of An Astor	http://www.officialwire.com/main.php/www.gregpalast.com/main.php?action=posted_news&rid=21030&catid=10		22		
26	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Obama's Remarks On Healthcare Reform	http://www.officialwire.com/main.php/main.php?action=posted_news&rid=22966&catid=42		22		
27	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Political Ruminations	http://www.officialwire.com/main.php/documents/pdf/www.house.gov/pelosi/documents/txt/www.house.gov/pelosi/contact/main.php?action=posted_news&rid=66918&catid=10		22		
28	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: No Rest For Sen. Reid In Healthcare Debate	http://officialwire.com/main.php?action=posted_news&rid=49957&catid=822228		22		
29	“big government” site:officialwire.com/main.php?action=posted_news&rid=48210&catid=848	OfficialWire: Transcript Of Obama-McCain Debate	http://www.officialwire.com/main.php/documents/pdf/www.house.gov/pelosi/documents/txt/main.php?action=posted_news&rid=78593&catid=852		22		
30	“big government” site:istockanalyst.com/article/viewiStockNews/articleid/3770132	n/a	n/a	n/a	n/a		
31	“big government” site:host.madison.com/ct/business/technology/blog/article_7bbcca8a-fd3f-11de-ad65-001cc4c03286.html	n/a	n/a	n/a	n/a		
32	“big government” site:huffingtonpost.com/timothy-karr/att-consultant-conjures-e_b_417317.html	n/a	n/a	n/a	n/a		
33	“big government” site:tmcnet.com/usubmit/-washingtons-tech-efforts-felt-show-/2010/01/09/4566630.htm	n/a	n/a	n/a	n/a		
34	“big government” site:tmcnet.com/usubmit/-upi-newstrack-business-/2010/01/09/4566632.htm	n/a	n/a	n/a	n/a		
35	“big government” site:9news.com/money/article.aspx?storyid=130434&catid=344	9NEWS.com | Colorado's Online News Leader | Dealers wary of Cash ...	http://www.9news.com/money/article.aspx?storyid=121765		2		
