result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
0	“big government” site:handsoff.org	ISSUE ANALYSIS NET NEUTRALITY, SMALL BUSINESS, AND BIG GOVERNMENT	http://handsoff.org/hoti_docs/studies/FreedomWorks_Study_61907.pdf	File Format: PDF/Adobe Acrobat - View as HTML  NET NEUTRALITY, SMALL BUSINESS, AND BIG GOVERNMENT . Wayne T. Brough, Ph.D.* and. Arthur A. Fleisher, III, Ph.D.**. June 15, 2007 ...  	2		
1	“big government” site:handsoff.org	Hands off the  Internet Â» Spare the Net	http://www.handsoff.org/blog/spare-the-net/	... extremists to support Net neutrality, but I'm very disappointed that a purportedly conservative group is jumping on the big government bandwagon. ...  	2		
2	“big government” site:chrismarsden.blogspot.com	n/a	n/a	n/a	n/a		
3	“big government” site:freepress.net	Hawaii's PEG Bill Deserves a Democratic Standard Before It's Too ...	http://www.freepress.net/node/38865	In a media universe dominated by big government and corporate points of view, public, education and government (PEG) access stations in Hawaii  are an oasis ...  	11		
4	“big government” site:freepress.net	News Headlines | Free Press	http://www.freepress.net/newsroom/news_headlines?page=465&%24Version=1&%24Path=/		11		
5	“big government” site:freepress.net	Free Press | media reform through education, organizing and advocacy	http://live.freepress.net/node?page=254		11		
6	“big government” site:freepress.net	News Headlines | Free Press	http://www.freepress.net/newsroom/news_headlines/text/%3C/p%3E%3C/newsroom/news_headlines?page=1657		11		
7	“big government” site:freepress.net	Media Consolidation News | Free Press- Page 89	http://www.freepress.net/newsroom/topic/67?page=88	October 18, 2007. Plan  Would Ease FCC Restrictions on Media Owners. October 18, 2007. For Fox Business, Big Government Is Enemy Number One. October 17, 2007 ...  	11		
8	“big government” site:freepress.net	Related Headlines | Free Press	http://www.freepress.net/newsroom/related?page=527		11		
9	“big government” site:freepress.net	Recent posts | Free Press	http://www.freepress.net/tracker?page=875		11		
10	“big government” site:freepress.net	Related Headlines | Free Press- Page 110	http://www.freepress.net/newsroom/related/67?page=109	Hidden Message Behind EchoStar-AT&T Deal: U-Verse Is Bad and Satellite TV Is Dying · For Fox Business, Big Government Is Enemy Number One ...  	11		
11	“big government” site:freepress.net	News Headlines | Free Press	https://freepress.net/newsroom/news_headlines?page=1768&%24Domain=bxdwxnlhuxrbtdlc	For Fox Business, Big Government Is Enemy Number One. Felix Gillette, New York Observer, October 16.2007. n/a. Are Kids Ready for Ads in Virtual Worlds? ...  	11		
12	“big government” site:freepress.net	âCongress must keep the Internet free and open by voting for ...	http://www.freepress.net/files/petition_mi.pdf		11		
13	“big government” site:freepress.net	A scrambled signal on media ownership | Free Press	http://live.freepress.net/news/4008		11		
14	“big government” site:savetheinternet.com/blog	My Web Series Made Possible by Net Neutrality | Save the Internet	http://www.savetheinternet.com/blog/10/01/05/my-web-series-made-possible-net-neutrality	5 Jan 2010 ... To clarify, I am not a big government kind of gal. As an American citizen, I believe encouraging the entrepreneurial spirit and setting the ...  	2		
15	“big government” site:savetheinternet.com/blog	Internet Freedom in the House | Save the Internet	http://www.savetheinternet.com/blog/09/07/31/internet-freedom-house	31 Jul 2009 ... this product of Chicago politics believes Big Government is the answer which means his agenda is predicated on absolute control over the ...  	2		
16	“big government” site:dig.csail.mit.edu/breadcrumbs/blog/4	n/a	n/a	n/a	n/a		
17	“big government” site:pajamasmedia.com/instapundit/91254	n/a	n/a	n/a	n/a		
18	“big government” site:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010	n/a	n/a	n/a	n/a		
19	“big government” site:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	Â» The Left Continues to Break: More Cracks in Net Neutrality Front ...	http://biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front/		1		
20	“big government” site:ifcnews.com/the-left-continues-to-break-more-cracks-in-net-neutrality-front	IFC News The Left Continues to Break: More Cracks in Net ...	http://www.ifcnews.com/the-left-continues-to-break-more-cracks-in-net-neutrality-front/		1		
21	“big government” site:entirelyopensource.com/Net-Neutrality/My-Web-Series-Made-Possible-by-Net-Neutrality	n/a	n/a	n/a	n/a		
22	“big government” site:broadbandbreakfast.com/2010/01/the-hills-kim-hart-to-co-moderate-net-neutrality-copyright-protection-and-national-broadband-plan-town-hall	n/a	n/a	n/a	n/a		
23	“big government” site:precursorblog.com/content/doj-rejects-broadband-market-failure-thesis	n/a	n/a	n/a	n/a		
