result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
0	“big government” site:en.wikipedia.org/wiki/Network_neutrality	n/a	n/a	n/a	n/a		
1	“big government” site:en.wikipedia.org/wiki/Network_neutrality_in_the_United_States	n/a	n/a	n/a	n/a		
2	“big government” site:savetheinternet.com	My Web Series Made Possible by Net Neutrality | Save the Internet	http://www.savetheinternet.com/blog/10/01/05/my-web-series-made-possible-net-neutrality	5 Jan 2010 ... To clarify, I am not a big government kind of gal. As an American citizen, I believe encouraging the entrepreneurial spirit and setting the ...  	14		
3	“big government” site:savetheinternet.com	Internet Freedom in the House | Save the Internet	http://www.savetheinternet.com/blog/09/07/31/internet-freedom-house	31 Jul 2009 ... this product of Chicago politics believes Big Government is the answer which means his agenda is predicated on absolute control over the ...  	14		
4	“big government” site:savetheinternet.com	Charlie H | Save the Internet	http://www.savetheinternet.com/story/29931	this is just another way for big government to control our daily lives. We all know the big media companies/Radio are all connected control by a few now ...  	14		
5	“big government” site:savetheinternet.com	Michael Del Camp | Save the Internet	http://www.savetheinternet.com/story/4440	What we are experiencing, is a corporate and big government "blow back" against the incredibly empowering, enabling, and communications enhancing aspects of ...  	14		
6	“big government” site:savetheinternet.com	Derek Wallace | Save the Internet	http://www.savetheinternet.com/story/2270	This isn't an issue of big government versus big business. It's an issue of human progress versus willful regression to an information dark ages. ...  	14		
7	“big government” site:savetheinternet.com	Save the Internet | Join the fight for Internet Freedom	http://www.savetheinternet.com/node?page=2148	I have seen big government take over too much of our freedoms and sell them to big corporations in the quest for money to support more, ...  	14		
8	“big government” site:savetheinternet.com	Irene Willey | Save the Internet	http://www.savetheinternet.com/story/9772	The individual's rights to independent choice is increasingly threatened by Big Media,  Big Industry/Producers, Big Government and the Conservative Right. ...  	14		
9	“big government” site:savetheinternet.com	Aric Vander Werff | Save the Internet	http://www.savetheinternet.com/story/7554	Big government and large corporations do little to help the average citizen, and I think tend to hurt much more than they help. ...  	14		
10	“big government” site:savetheinternet.com	Tony Prokott | Save the Internet	http://www.savetheinternet.com/story/6633	Giving robber baron corporations a strangle hold on content regulation is no improvement on Big Government â¢ brand content regulation. ...  	14		
11	“big government” site:savetheinternet.com	Save the Internet	http://www.savetheinternet.com/stories/all?page=1380	Without it, we only learn what big government and big companies tell us, and most of what they have to say is wrong. Do your job and protect my right to ...  	14		
12	“big government” site:savetheinternet.com	Paula Adams | Save the Internet	http://www.savetheinternet.com/story/23615		14		
13	“big government” site:savetheinternet.com	Concerned Citizen | Save the Internet	http://www.savetheinternet.com/tag/concerned-citizen?page=140		14		
14	“big government” site:savetheinternet.com	Save the Internet	http://www.savetheinternet.com/stories/all?page=87	Allowing Corporate Companies to control media outlets is just as bad as allowing big government to control what the news is allowed and not allowed to say. ...  	14		
15	“big government” site:savetheinternet.com	Carlton Hackett | Save the Internet	http://www.savetheinternet.com/story/3943	Keep the Internet free from Big Government , and leave it to the people who cherish it the most: the everyday Citizen, or has the FCC forgotten who we are? ...  	14		
16	“big government” site:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	Â» The Left Continues to Break: More Cracks in Net Neutrality Front ...	http://biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front/		1		
17	“big government” site:reclaimthemedia.org/broadband/cable/new_study_suggests_net_neutral0701	n/a	n/a	n/a	n/a		
