result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
0	“big government” site:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	Â» The Left Continues to Break: More Cracks in Net Neutrality Front ...	http://biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front/		1		
1	“big government” site:reclaimthemedia.org/broadband/cable/new_study_suggests_net_neutral0701	n/a	n/a	n/a	n/a		
2	“big government” site:straight.com/article-280224/vancouver/charlie-angus-calls-tony-clement-require-net-neutrality-checks	n/a	n/a	n/a	n/a		
3	“big government” site:liberal.ca/en/blog/17211_our-net-neutrality-qa	n/a	n/a	n/a	n/a		
4	“big government” site:reason.com/archives/2010/01/06/the-war-over-neutrality	n/a	n/a	n/a	n/a		
5	“big government” site:thehill.com/blogs/hillicon-valley/technology/74817-house-staffer-broadband-plan-should-have-taken-precedence-over-net-neutrality	n/a	n/a	n/a	n/a		
6	“big government” site:story.zimbabwestar.com/index.php/ct/9/cid/3a8a80d6f705f8cc/id/585364/cs/1	n/a	n/a	n/a	n/a		
7	“big government” site:mercurynews.com/opinion/ci_14127209	n/a	n/a	n/a	n/a		
8	“big government” site:metrocorpcounsel.com/current.php?artType=view&	n/a	n/a	n/a	n/a		
9	“big government” site:pcworld.com/article/185903/us_official_broadband_regulation_may_be_needed.html	n/a	n/a	n/a	n/a		
10	“big government” site:macsimumnews.com/index.php/archive/net_neutrality_expected_be_debated_at_ces_2010	n/a	n/a	n/a	n/a		
11	“big government” site:news.tubefilter.tv/2010/01/04/writers-guild-east-signs-13-more-digital-media-creators	n/a	n/a	n/a	n/a		
12	“big government” site:mediaweek.com/mw/content_display/news/digital-downloads/broadband/e3i7d41666c039b61afff33fdff52a5c0b8	n/a	n/a	n/a	n/a		
13	“big government” site:mediapost.com/publications/?fa=Articles.showArticle&	MediaPost Publications Printer Friendly	http://www.mediapost.com/publications/?fa=Articles.printFriendly&art_aid=5750		12		
14	“big government” site:mediapost.com/publications/?fa=Articles.showArticle&	MediaPost Publications Printer Friendly	http://www.mediapost.com/publications/?fa=Articles.printFriendly&art_aid=79799	Alas, it's easy to find people to gripe about privacy, laying blame at the feet of big business and big government , but what to do about it? ...  	12		
15	“big government” site:mediapost.com/publications/?fa=Articles.showArticle&	MediaPost Publications Survival Guide To The FTC For Advertisers ...	http://www.mediapost.com/publications/?fa=Articles.showArticle&art_aid=119671	I've seen discussions on big government , fears of a new reign of terror over the blogosphere, and grumblings about inconsistent treatment between social and ...  	12		
