result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
0	“big government” site:amazon.com/Virtual-Freedom-Neutrality-Internet-Stanford/dp/0804763852	n/a	n/a	n/a	n/a		
1	“big government” site:petelumbis.org/blog/?p=1197	Senator Grassley,	http://petelumbis.org/blog/images/policy.doc		1		
2	“big government” site:nycbroadband.blogspot.com/2009/11/nyc-council-holds-net-neutrality.html	n/a	n/a	n/a	n/a		
3	“big government” site:democraticmedia.ca/net-neutrality/net-neutrality	n/a	n/a	n/a	n/a		
4	“big government” site:defendnetneutrality.org	n/a	n/a	n/a	n/a		
5	“big government” site:azcentral.com/arizonarepublic/opinions/articles/0626mon1-26.html	n/a	n/a	n/a	n/a		
6	“big government” site:mhgoldberg.com/blog/2006/03/net-neutrality-or-open-access.html	n/a	n/a	n/a	n/a		
7	“big government” site:zdnetasia.com/insight/internet/0,39044877,62057309,00.htm	n/a	n/a	n/a	n/a		
8	“big government” site:democraticmedia.ca/netneutrality	n/a	n/a	n/a	n/a		
9	“big government” site:digitaldaily.allthingsd.com/20091023/mccain-gets-mavericky-on-net-neutrality	n/a	n/a	n/a	n/a		
10	“big government” site:huffingtonpost.com/adam-green/mike-mccurry-hurting-t_b_20216.html	n/a	n/a	n/a	n/a		
11	“big government” site:isen.com/blog/2007/10/why-net-neutrality-law-is-not-enough.html	n/a	n/a	n/a	n/a		
12	“big government” site:v3.co.uk/vnunet/news/2193214/ftc-abandons-net-neutrality	n/a	n/a	n/a	n/a		
13	“big government” site:cio.com/article/502574/Report_FCC_Will_Formalize_Net_Neutrality_Rule	n/a	n/a	n/a	n/a		
14	“big government” site:openinternet.gov/read-speech.html	n/a	n/a	n/a	n/a		
15	“big government” site:ecommercetimes.com/rsstory/68927.html	n/a	n/a	n/a	n/a		
16	“big government” site:inc.com/news/articles/2009/09/net.html	n/a	n/a	n/a	n/a		
17	“big government” site:digitaldaily.allthingsd.com/20090921/net-neutrality-fcc-chairman-julius-genachowskis-speech-in-full	n/a	n/a	n/a	n/a		
18	“big government” site:enterprisenetworkingplanet.com/news/article.php/3851946	n/a	n/a	n/a	n/a		
19	“big government” site:helium.com/items/1423651-net-neutrality-internet-regulation	n/a	n/a	n/a	n/a		
20	“big government” site:helium.com/channels/520-Internet-Access-Providers	n/a	n/a	n/a	n/a		
